Contig	SoftClippedBases	TotalBases	Fraction
JBPCET010000017.1	6508218	50346600	0.129268
JBPCET010000024.1	112599762	1903171966	0.0591643
JBPCET010000005.1	115262697	1980638445	0.0581947
JBPCET010000012.1	140327905	2329170442	0.060248
JBPCET010000008.1	123246016	1820422182	0.0677019
JBPCET010000015.1	79982593	1050085515	0.0761677
JBPCET010000022.1	113601796	1848282001	0.0614635
JBPCET010071475.1	71595	2786043	0.0256977
JBPCET010000003.1	106484614	1695532568	0.062803
JBPCET010000010.1	102244511	1617427369	0.0632143
JBPCET010000018.1	132054543	2128922112	0.0620288
JBPCET010000025.1	117716662	1844711824	0.063813
JBPCET010221564.1	120200	1577132	0.0762143
JBPCET010000006.1	112220754	1794981987	0.0625192
JBPCET010000013.1	94732171	1572452981	0.0602448
JBPCET010000020.1	5209987	44699784	0.116555
JBPCET010000001.1	198319173	3109083910	0.063787
JBPCET010000009.1	102070065	1752499231	0.0582426
JBPCET010000016.1	78505795	1204779619	0.065162
JBPCET010000023.1	116001719	2057127344	0.0563901
JBPCET010000004.1	132248980	2113737508	0.0625664
JBPCET010000011.1	93155718	1506451230	0.0618379
JBPCET010279747.1	65698	1469602	0.0447046
JBPCET010000019.1	121529522	2120952116	0.0572995
JBPCET010329118.1	74525	1417129	0.0525887
JBPCET010000007.1	107929663	1801832543	0.0598999
JBPCET010000014.1	89128407	1388423902	0.0641939
JBPCET010000021.1	107336850	1957452109	0.054835
JBPCET010000002.1	114988168	1925121179	0.0597304
JBPCET010193893.1	54246	2078655	0.0260967
