region	chr	midPos	Nsites
(11,79)(185543,189341)(140000,190000)	JBPCET010000001.1	165000	70	0.017123
(11,79)(185543,189341)(150000,200000)	JBPCET010000001.1	175000	70	0.017123
(11,79)(185543,189341)(160000,210000)	JBPCET010000001.1	185000	70	0.017123
(11,79)(185543,189341)(170000,220000)	JBPCET010000001.1	195000	70	0.017123
(11,80)(185543,225436)(180000,230000)	JBPCET010000001.1	205000	71	0.017239
(80,80)(225436,225436)(190000,240000)	JBPCET010000001.1	215000	2	0.046447
(80,80)(225436,225436)(200000,250000)	JBPCET010000001.1	225000	2	0.046447
(80,80)(225436,225436)(210000,260000)	JBPCET010000001.1	235000	2	0.046447
(80,80)(225436,225436)(220000,270000)	JBPCET010000001.1	245000	2	0.046447
(81,82)(309406,309413)(260000,310000)	JBPCET010000001.1	285000	3	0.025115
(81,82)(309406,309413)(270000,320000)	JBPCET010000001.1	295000	3	0.025115
(81,82)(309406,309413)(280000,330000)	JBPCET010000001.1	305000	3	0.025115
(81,82)(309406,309413)(290000,340000)	JBPCET010000001.1	315000	3	0.025115
(81,82)(309406,309413)(300000,350000)	JBPCET010000001.1	325000	3	0.025115
(83,93)(402402,405736)(360000,410000)	JBPCET010000001.1	385000	12	0.011992
(83,93)(402402,405736)(370000,420000)	JBPCET010000001.1	395000	12	0.011992
(83,93)(402402,405736)(380000,430000)	JBPCET010000001.1	405000	12	0.011992
(83,93)(402402,405736)(390000,440000)	JBPCET010000001.1	415000	12	0.011992
(83,96)(402402,447288)(400000,450000)	JBPCET010000001.1	425000	15	0.022346
(94,96)(447256,447288)(410000,460000)	JBPCET010000001.1	435000	4	0.065368
(94,96)(447256,447288)(420000,470000)	JBPCET010000001.1	445000	4	0.065368
(94,96)(447256,447288)(430000,480000)	JBPCET010000001.1	455000	4	0.065368
(94,107)(447256,489633)(440000,490000)	JBPCET010000001.1	465000	15	0.038011
(97,107)(486745,489633)(450000,500000)	JBPCET010000001.1	475000	12	0.021670
(97,107)(486745,489633)(460000,510000)	JBPCET010000001.1	485000	12	0.021670
(97,107)(486745,489633)(470000,520000)	JBPCET010000001.1	495000	12	0.021670
(97,107)(486745,489633)(480000,530000)	JBPCET010000001.1	505000	12	0.021670
(108,108)(627547,627547)(580000,630000)	JBPCET010000001.1	605000	2	0.008570
(108,108)(627547,627547)(590000,640000)	JBPCET010000001.1	615000	2	0.008570
(108,108)(627547,627547)(600000,650000)	JBPCET010000001.1	625000	2	0.008570
(108,108)(627547,627547)(610000,660000)	JBPCET010000001.1	635000	2	0.008570
(108,108)(627547,627547)(620000,670000)	JBPCET010000001.1	645000	2	0.008570
(109,115)(765739,765786)(720000,770000)	JBPCET010000001.1	745000	8	0.011751
(109,134)(765739,779422)(730000,780000)	JBPCET010000001.1	755000	27	0.012739
(109,134)(765739,779422)(740000,790000)	JBPCET010000001.1	765000	27	0.012739
(109,134)(765739,779422)(750000,800000)	JBPCET010000001.1	775000	27	0.012739
(109,134)(765739,779422)(760000,810000)	JBPCET010000001.1	785000	27	0.012739
(116,134)(771786,779422)(770000,820000)	JBPCET010000001.1	795000	20	0.013149
(135,135)(853613,853613)(810000,860000)	JBPCET010000001.1	835000	2	-0.013114
(135,135)(853613,853613)(820000,870000)	JBPCET010000001.1	845000	2	-0.013114
(135,135)(853613,853613)(830000,880000)	JBPCET010000001.1	855000	2	-0.013114
(135,139)(853613,881659)(840000,890000)	JBPCET010000001.1	865000	6	-0.004156
(135,139)(853613,881659)(850000,900000)	JBPCET010000001.1	875000	6	-0.004156
(136,144)(881629,901814)(860000,910000)	JBPCET010000001.1	885000	10	0.022071
(136,144)(881629,901814)(870000,920000)	JBPCET010000001.1	895000	10	0.022071
(136,144)(881629,901814)(880000,930000)	JBPCET010000001.1	905000	10	0.022071
(140,168)(901638,931768)(890000,940000)	JBPCET010000001.1	915000	30	0.033705
(140,168)(901638,931768)(900000,950000)	JBPCET010000001.1	925000	30	0.033705
(145,168)(931507,931768)(910000,960000)	JBPCET010000001.1	935000	25	0.030855
(145,168)(931507,931768)(920000,970000)	JBPCET010000001.1	945000	25	0.030855
(145,168)(931507,931768)(930000,980000)	JBPCET010000001.1	955000	25	0.030855
(169,174)(991524,992424)(950000,1000000)	JBPCET010000001.1	975000	7	0.028859
(169,174)(991524,992424)(960000,1010000)	JBPCET010000001.1	985000	7	0.028859
(169,174)(991524,992424)(970000,1020000)	JBPCET010000001.1	995000	7	0.028859
(169,174)(991524,992424)(980000,1030000)	JBPCET010000001.1	1005000	7	0.028859
(169,174)(991524,992424)(990000,1040000)	JBPCET010000001.1	1015000	7	0.028859
(175,178)(1101952,1101964)(1060000,1110000)	JBPCET010000001.1	1085000	5	0.053401
(175,178)(1101952,1101964)(1070000,1120000)	JBPCET010000001.1	1095000	5	0.053401
(175,178)(1101952,1101964)(1080000,1130000)	JBPCET010000001.1	1105000	5	0.053401
(175,178)(1101952,1101964)(1090000,1140000)	JBPCET010000001.1	1115000	5	0.053401
(175,178)(1101952,1101964)(1100000,1150000)	JBPCET010000001.1	1125000	5	0.053401
(179,210)(1153192,1153415)(1110000,1160000)	JBPCET010000001.1	1135000	33	0.020167
(179,210)(1153192,1153415)(1120000,1170000)	JBPCET010000001.1	1145000	33	0.020167
(179,210)(1153192,1153415)(1130000,1180000)	JBPCET010000001.1	1155000	33	0.020167
(179,210)(1153192,1153415)(1140000,1190000)	JBPCET010000001.1	1165000	33	0.020167
(179,210)(1153192,1153415)(1150000,1200000)	JBPCET010000001.1	1175000	33	0.020167
(211,226)(1424096,1424159)(1380000,1430000)	JBPCET010000001.1	1405000	17	-0.001242
(211,226)(1424096,1424159)(1390000,1440000)	JBPCET010000001.1	1415000	17	-0.001242
(211,226)(1424096,1424159)(1400000,1450000)	JBPCET010000001.1	1425000	17	-0.001242
(211,226)(1424096,1424159)(1410000,1460000)	JBPCET010000001.1	1435000	17	-0.001242
(211,226)(1424096,1424159)(1420000,1470000)	JBPCET010000001.1	1445000	17	-0.001242
(227,241)(1492417,1492588)(1450000,1500000)	JBPCET010000001.1	1475000	16	-0.001046
(227,246)(1492417,1507125)(1460000,1510000)	JBPCET010000001.1	1485000	21	0.013888
