region	chr	midPos	Nsites
(51,52)(10071,10079)(10000,60000)	NODE_1005_length_28748_cov_3.680652	35000	3	0.043677
(5,7)(26630,26653)(20000,70000)	NODE_1006_length_28733_cov_3.902808	45000	4	0.068205
(1,10)(12065,19125)(10000,60000)	NODE_1010_length_28715_cov_3.683359	35000	11	0.047035
(8,8)(20338,20338)(10000,60000)	NODE_1012_length_28711_cov_3.297952	35000	2	0.081087
(38,38)(16008,16008)(10000,60000)	NODE_1014_length_28701_cov_3.471855	35000	2	-0.008762
(20,34)(27241,28162)(10000,60000)	NODE_1023_length_28597_cov_3.311987	35000	16	0.027033
(18,23)(27680,27712)(10000,60000)	NODE_1024_length_28592_cov_3.411013	35000	7	0.032516
(29,29)(26649,26649)(10000,60000)	NODE_1025_length_28566_cov_3.506130	35000	2	0.004860
(13,14)(28254,28256)(10000,60000)	NODE_1034_length_28461_cov_4.068331	35000	3	0.017945
(1,2)(12539,12545)(10000,60000)	NODE_1039_length_28400_cov_3.863220	35000	3	0.000582
(1,74)(46415,46742)(40000,90000)	NODE_103_length_46749_cov_3.696785	65000	75	0.060054
(1,73)(10027,24732)(10000,60000)	NODE_1045_length_28382_cov_3.769968	35000	74	0.058819
(45,100)(16462,45200)(10000,60000)	NODE_104_length_46715_cov_3.945491	35000	57	0.029973
(2,6)(20163,20244)(10000,60000)	NODE_1054_length_28327_cov_3.271893	35000	6	0.086236
(5,9)(12586,12610)(10000,60000)	NODE_1061_length_28269_cov_3.948988	35000	6	0.037585
(12,22)(16429,22349)(10000,60000)	NODE_1069_length_28209_cov_3.509961	35000	12	0.049113
(3,3)(23490,23490)(20000,70000)	NODE_106_length_46410_cov_3.501587	45000	2	0.104181
(4,30)(10162,10249)(10000,60000)	NODE_1073_length_28176_cov_3.380418	35000	28	0.053299
(2,13)(21865,21909)(10000,60000)	NODE_1083_length_28122_cov_3.522928	35000	13	0.070388
(1,28)(10403,23557)(10000,60000)	NODE_1086_length_28102_cov_3.260222	35000	29	0.047999
(12,23)(10174,10361)(10000,60000)	NODE_1088_length_28087_cov_3.725096	35000	13	0.042987
(6,9)(25339,25348)(10000,60000)	NODE_1089_length_28083_cov_3.489673	35000	5	0.075290
(2,5)(25398,25406)(20000,70000)	NODE_1092_length_28048_cov_3.913378	45000	5	0.033043
(1,32)(11016,11507)(10000,60000)	NODE_1094_length_28041_cov_3.287238	35000	33	0.053269
