Contig	SoftClippedBases	TotalBases	Fraction
NODE_1344_length_26430_cov_3.394516	1136239	4123482	0.275553
NODE_330_length_37925_cov_3.476048	286377	3135589	0.0913312
NODE_811_length_30383_cov_3.798772	343963	2753196	0.124932
NODE_1055_length_28320_cov_3.238369	252960	2175522	0.116276
NODE_2092_length_23210_cov_3.565445	91451	1654671	0.0552684
NODE_1303_length_26674_cov_3.386679	234696	2018958	0.116246
NODE_1662_length_24827_cov_3.831567	374815	2883684	0.129978
NODE_2816_length_20996_cov_3.364311	242450	2038994	0.118907
NODE_400_length_36009_cov_3.439376	357722	2882306	0.12411
NODE_2523_length_21810_cov_3.543089	234546	1868509	0.125526
NODE_2817_length_20985_cov_3.812506	1085643	4477535	0.242464
NODE_260_length_39678_cov_3.624220	481493	3294760	0.146139
NODE_2530_length_21790_cov_3.310866	418720	2177098	0.192329
NODE_910_length_29460_cov_3.728245	153160	2253860	0.0679545
NODE_2651_length_21446_cov_3.361831	446446	4420486	0.100995
NODE_457_length_34939_cov_4.529133	815420	4695253	0.173669
NODE_1903_length_23767_cov_3.324700	159248	1838078	0.0866383
NODE_1727_length_24563_cov_3.290468	131235	2006760	0.0653965
NODE_1698_length_24641_cov_3.564868	118130	1843598	0.0640758
NODE_459_length_34887_cov_3.462343	220192	2759559	0.0797925
NODE_1387_length_26166_cov_3.346108	223241	2093408	0.10664
NODE_2067_length_23281_cov_3.638426	188896	1781528	0.10603
NODE_1663_length_24821_cov_3.347221	333564	2546214	0.131004
NODE_700_length_31649_cov_3.286688	478145	2977750	0.160573
NODE_898_length_29563_cov_3.680899	406792	2634968	0.154382
NODE_1315_length_26591_cov_5.352748	107504	1617181	0.0664762
NODE_2159_length_22927_cov_3.708122	135035	1785820	0.0756151
NODE_2574_length_21676_cov_3.360847	190765	1707801	0.111702
NODE_103_length_46749_cov_3.696785	763647	4701514	0.162426
NODE_597_length_32848_cov_3.462762	155704	2431360	0.0640399
