region	chr	midPos	Nsites
(208,1175)(10000,59872)(10000,60000)	JBPCET010000001.1	35000	969	0.023972
(482,1345)(20127,65667)(20000,70000)	JBPCET010000001.1	45000	865	0.023762
(581,1443)(30393,79734)(30000,80000)	JBPCET010000001.1	55000	864	0.023872
(731,1633)(40140,89952)(40000,90000)	JBPCET010000001.1	65000	904	0.023667
(938,1826)(50222,99593)(50000,100000)	JBPCET010000001.1	75000	890	0.024374
(1176,1946)(60312,109964)(60000,110000)	JBPCET010000001.1	85000	772	0.026299
(1346,2221)(70006,119836)(70000,120000)	JBPCET010000001.1	95000	877	0.024063
(1444,2437)(80040,129933)(80000,130000)	JBPCET010000001.1	105000	995	0.023044
(1634,2638)(90043,138664)(90000,140000)	JBPCET010000001.1	115000	1006	0.022372
(1827,2744)(102417,147928)(100000,150000)	JBPCET010000001.1	125000	919	0.022237
(1947,2960)(110229,159729)(110000,160000)	JBPCET010000001.1	135000	1015	0.020589
(2222,3130)(120791,169989)(120000,170000)	JBPCET010000001.1	145000	910	0.021029
(2438,3219)(130022,175379)(130000,180000)	JBPCET010000001.1	155000	783	0.022476
(2639,3420)(140756,189946)(140000,190000)	JBPCET010000001.1	165000	783	0.023392
(2745,3473)(150046,193944)(150000,200000)	JBPCET010000001.1	175000	730	0.022831
(2961,3669)(160263,209992)(160000,210000)	JBPCET010000001.1	185000	710	0.021904
(3131,3795)(170082,219416)(170000,220000)	JBPCET010000001.1	195000	666	0.021077
(3220,3960)(185315,229895)(180000,230000)	JBPCET010000001.1	205000	742	0.019980
(3421,4180)(190004,239996)(190000,240000)	JBPCET010000001.1	215000	761	0.020673
(3474,4275)(200210,247835)(200000,250000)	JBPCET010000001.1	225000	803	0.020123
(3670,4411)(210003,259241)(210000,260000)	JBPCET010000001.1	235000	743	0.021622
(3796,4678)(220614,269025)(220000,270000)	JBPCET010000001.1	245000	884	0.024960
(3961,4717)(230816,279360)(230000,280000)	JBPCET010000001.1	255000	758	0.026047
(4181,4893)(240001,289994)(240000,290000)	JBPCET010000001.1	265000	714	0.025221
(4276,5116)(251237,299613)(250000,300000)	JBPCET010000001.1	275000	842	0.024059
(4412,5305)(260391,309997)(260000,310000)	JBPCET010000001.1	285000	895	0.024216
(4679,5427)(274471,314529)(270000,320000)	JBPCET010000001.1	295000	750	0.022134
(4718,5681)(280313,329481)(280000,330000)	JBPCET010000001.1	305000	965	0.022554
(4894,5724)(291215,336536)(290000,340000)	JBPCET010000001.1	315000	832	0.022783
(5117,5838)(300071,348383)(300000,350000)	JBPCET010000001.1	325000	723	0.025140
(5306,5909)(310002,358991)(310000,360000)	JBPCET010000001.1	335000	605	0.023378
(5428,6024)(321240,366939)(320000,370000)	JBPCET010000001.1	345000	598	0.023104
(5682,6109)(333147,379584)(330000,380000)	JBPCET010000001.1	355000	429	0.020873
(5725,6263)(342932,386219)(340000,390000)	JBPCET010000001.1	365000	540	0.020559
(5839,6482)(356930,399122)(350000,400000)	JBPCET010000001.1	375000	645	0.019050
(5910,6969)(361730,408583)(360000,410000)	JBPCET010000001.1	385000	1061	0.021984
(6025,7147)(377755,418276)(370000,420000)	JBPCET010000001.1	395000	1124	0.022366
(6110,7372)(380828,429992)(380000,430000)	JBPCET010000001.1	405000	1264	0.023395
(6264,7751)(390087,439845)(390000,440000)	JBPCET010000001.1	415000	1489	0.023479
(6483,8128)(400030,449789)(400000,450000)	JBPCET010000001.1	425000	1647	0.025385
(6970,8388)(410217,459095)(410000,460000)	JBPCET010000001.1	435000	1420	0.024943
(7148,8453)(422260,469960)(420000,470000)	JBPCET010000001.1	445000	1307	0.024779
(7373,8609)(430006,479985)(430000,480000)	JBPCET010000001.1	455000	1238	0.025070
(7752,8881)(440042,489782)(440000,490000)	JBPCET010000001.1	465000	1131	0.027449
(8129,8986)(450751,497292)(450000,500000)	JBPCET010000001.1	475000	859	0.025741
(8389,9103)(465828,509985)(460000,510000)	JBPCET010000001.1	485000	716	0.026794
(8454,9312)(470022,519939)(470000,520000)	JBPCET010000001.1	495000	860	0.027053
(8610,9381)(480004,527690)(480000,530000)	JBPCET010000001.1	505000	773	0.026001
(8882,9632)(490204,538197)(490000,540000)	JBPCET010000001.1	515000	752	0.024677
(8987,9980)(501061,549944)(500000,550000)	JBPCET010000001.1	525000	995	0.024931
(9104,10327)(510147,559060)(510000,560000)	JBPCET010000001.1	535000	1225	0.023975
(9313,10337)(520061,565029)(520000,570000)	JBPCET010000001.1	545000	1026	0.023698
(9382,10500)(531927,579636)(530000,580000)	JBPCET010000001.1	555000	1120	0.023854
(9633,10805)(540768,589295)(540000,590000)	JBPCET010000001.1	565000	1174	0.022509
(9981,11011)(550063,598933)(550000,600000)	JBPCET010000001.1	575000	1032	0.022900
(10328,11198)(563622,609082)(560000,610000)	JBPCET010000001.1	585000	872	0.024821
(10338,11341)(570508,619961)(570000,620000)	JBPCET010000001.1	595000	1005	0.023704
(10501,11460)(580423,629986)(580000,630000)	JBPCET010000001.1	605000	961	0.023549
(10806,11634)(590087,639641)(590000,640000)	JBPCET010000001.1	615000	830	0.022772
(11012,11932)(600470,648998)(600000,650000)	JBPCET010000001.1	625000	922	0.021763
(11199,12227)(616529,659985)(610000,660000)	JBPCET010000001.1	635000	1030	0.021330
(11342,12299)(621957,669387)(620000,670000)	JBPCET010000001.1	645000	959	0.022165
(11461,12419)(630063,675032)(630000,680000)	JBPCET010000001.1	655000	960	0.021934
(11635,12536)(640156,689655)(640000,690000)	JBPCET010000001.1	665000	903	0.021856
(11933,12685)(650707,698031)(650000,700000)	JBPCET010000001.1	675000	754	0.022421
(12228,12824)(660025,707599)(660000,710000)	JBPCET010000001.1	685000	598	0.020726
(12300,13037)(670071,718948)(670000,720000)	JBPCET010000001.1	695000	739	0.021743
(12420,13204)(682288,729631)(680000,730000)	JBPCET010000001.1	705000	786	0.022196
(12537,13221)(690709,739361)(690000,740000)	JBPCET010000001.1	715000	686	0.023656
(12686,13329)(701117,748794)(700000,750000)	JBPCET010000001.1	725000	645	0.023716
(12825,13436)(710183,756497)(710000,760000)	JBPCET010000001.1	735000	613	0.025884
(13038,13574)(721683,768462)(720000,770000)	JBPCET010000001.1	745000	538	0.025217
(13205,13702)(738697,779454)(730000,780000)	JBPCET010000001.1	755000	499	0.023560
(13222,13873)(743069,789991)(740000,790000)	JBPCET010000001.1	765000	653	0.022363
(13330,14107)(750500,799838)(750000,800000)	JBPCET010000001.1	775000	779	0.021261
(13437,14263)(763359,809963)(760000,810000)	JBPCET010000001.1	785000	828	0.018844
(13575,14423)(770256,818361)(770000,820000)	JBPCET010000001.1	795000	850	0.018263
(13703,14604)(781272,829670)(780000,830000)	JBPCET010000001.1	805000	903	0.018450
(13874,14653)(790080,837171)(790000,840000)	JBPCET010000001.1	815000	781	0.018402
(14108,14804)(800088,849918)(800000,850000)	JBPCET010000001.1	825000	698	0.018412
(14264,14914)(810105,859687)(810000,860000)	JBPCET010000001.1	835000	652	0.022324
(14424,15193)(822359,869767)(820000,870000)	JBPCET010000001.1	845000	771	0.021053
(14605,15386)(830527,879282)(830000,880000)	JBPCET010000001.1	855000	783	0.022822
(14654,15619)(841691,889377)(840000,890000)	JBPCET010000001.1	865000	967	0.022311
(14805,15820)(850372,899978)(850000,900000)	JBPCET010000001.1	875000	1017	0.024642
(14915,15933)(860135,909875)(860000,910000)	JBPCET010000001.1	885000	1020	0.022895
(15194,16204)(870493,919998)(870000,920000)	JBPCET010000001.1	895000	1012	0.026138
(15387,16463)(880412,929983)(880000,930000)	JBPCET010000001.1	905000	1078	0.024068
(15620,16734)(890297,939905)(890000,940000)	JBPCET010000001.1	915000	1116	0.025134
(15821,16964)(900656,949144)(900000,950000)	JBPCET010000001.1	925000	1145	0.023265
(15934,17256)(911078,959988)(910000,960000)	JBPCET010000001.1	935000	1324	0.024301
(16205,17587)(920007,969736)(920000,970000)	JBPCET010000001.1	945000	1384	0.023291
(16464,17685)(930002,974060)(930000,980000)	JBPCET010000001.1	955000	1223	0.024449
(16735,17830)(940199,989071)(940000,990000)	JBPCET010000001.1	965000	1097	0.023558
(16965,18069)(951601,999811)(950000,1000000)	JBPCET010000001.1	975000	1106	0.024013
(17257,18265)(960020,1005785)(960000,1010000)	JBPCET010000001.1	985000	1010	0.024597
(17588,18404)(970475,1019840)(970000,1020000)	JBPCET010000001.1	995000	818	0.025252
