Individual_ID	Query_ID	Subject_Accession	Percent_Identity	Alignment_Length	E_Value	Bit_Score	Species_Title
CviAPal002	CviAPal002_10x_0.9_COI	gi|1842048723|gb|MT199208.1|	88.722	1596	0.0	2283	Chromis viridis mitochondrion, complete genome
CviAPal002	CviAPal002_10x_0.9_COI	gi|1980524333|ref|NC_052722.1|	80.702	1596	0.0	1574	Chromis notata mitochondrion, complete genome
CviAPal002	CviAPal002_10x_0.9_COI	gi|126143578|dbj|AP006016.1|	79.408	1588	0.0	1450	Abudefduf vaigiensis mitochondrial DNA, complete genome
CviAPal002	CviAPal002_10x_0.9_COI	gi|197304274|dbj|AB370894.1|	78.686	1553	0.0	1362	Odontesthes sp. Odsp-001 mitochondrial DNA, complete genome
CviAPal002	CviAPal002_10x_0.9_COI	gi|256353319|dbj|AP011061.1|	79.267	1500	0.0	1354	Kyphosus cinerascens mitochondrial DNA, complete genome
CviAPal003	CviAPal003_10x_0.9_COI	gi|1842048723|gb|MT199208.1|	90.082	1593	0.0	2359	Chromis viridis mitochondrion, complete genome
CviAPal003	CviAPal003_10x_0.9_COI	gi|1980524333|ref|NC_052722.1|	81.961	1591	0.0	1640	Chromis notata mitochondrion, complete genome
CviAPal003	CviAPal003_10x_0.9_COI	gi|126143578|dbj|AP006016.1|	80.038	1588	0.0	1465	Abudefduf vaigiensis mitochondrial DNA, complete genome
CviAPal003	CviAPal003_10x_0.9_COI	gi|1593555200|ref|NC_041192.1|	79.748	1590	0.0	1434	Abudefduf bengalensis mitochondrion, complete genome
CviAPal003	CviAPal003_10x_0.9_COI	gi|197304274|dbj|AB370894.1|	79.459	1553	0.0	1387	Odontesthes sp. Odsp-001 mitochondrial DNA, complete genome
CviAPal005	CviAPal005_10x_0.9_COI	gi|1842048723|gb|MT199208.1|	91.855	1596	0.0	2468	Chromis viridis mitochondrion, complete genome
CviAPal005	CviAPal005_10x_0.9_COI	gi|1980524333|ref|NC_052722.1|	83.709	1596	0.0	1748	Chromis notata mitochondrion, complete genome
CviAPal005	CviAPal005_10x_0.9_COI	gi|126143578|dbj|AP006016.1|	81.927	1588	0.0	1580	Abudefduf vaigiensis mitochondrial DNA, complete genome
CviAPal005	CviAPal005_10x_0.9_COI	gi|1593555200|ref|NC_041192.1|	81.549	1588	0.0	1546	Abudefduf bengalensis mitochondrion, complete genome
CviAPal005	CviAPal005_10x_0.9_COI	gi|1842048737|gb|MT199209.1|	81.218	1560	0.0	1496	Pomacentrus moluccensis mitochondrion, complete genome
CviAPal006	CviAPal006_10x_0.9_COI	gi|1842048723|gb|MT199208.1|	89.035	1596	0.0	2302	Chromis viridis mitochondrion, complete genome
CviAPal006	CviAPal006_10x_0.9_COI	gi|1980524333|ref|NC_052722.1|	81.078	1596	0.0	1598	Chromis notata mitochondrion, complete genome
CviAPal006	CviAPal006_10x_0.9_COI	gi|126143578|dbj|AP006016.1|	79.434	1590	0.0	1437	Abudefduf vaigiensis mitochondrial DNA, complete genome
CviAPal006	CviAPal006_10x_0.9_COI	gi|1593555200|ref|NC_041192.1|	79.057	1590	0.0	1404	Abudefduf bengalensis mitochondrion, complete genome
CviAPal006	CviAPal006_10x_0.9_COI	gi|1842048737|gb|MT199209.1|	79.193	1562	0.0	1400	Pomacentrus moluccensis mitochondrion, complete genome
CviAPal007	CviAPal007_10x_0.9_COI	gi|1842048723|gb|MT199208.1|	82.895	1596	0.0	1940	Chromis viridis mitochondrion, complete genome
CviAPal007	CviAPal007_10x_0.9_COI	gi|126143578|dbj|AP006016.1|	77.078	1588	0.0	1417	Abudefduf vaigiensis mitochondrial DNA, complete genome
CviAPal007	CviAPal007_10x_0.9_COI	gi|1842048737|gb|MT199209.1|	76.697	1562	0.0	1365	Pomacentrus moluccensis mitochondrion, complete genome
CviAPal007	CviAPal007_10x_0.9_COI	gi|1935445780|ref|NC_051497.1|	76.697	1562	0.0	1365	Pomacentrus moluccensis mitochondrion, complete genome
CviAPal007	CviAPal007_10x_0.9_COI	gi|139000641|dbj|AP009169.1|	76.261	1546	0.0	1319	Monodactylus argenteus mitochondrial DNA, complete genome
CviAPal008	CviAPal008_10x_0.9_COI	gi|1897743522|gb|MN733676.1|	86.677	653	0.0	885	Chromis viridis voucher CKF150 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial
CviAPal008	CviAPal008_10x_0.9_COI	gi|1331389596|gb|MF409462.1|	85.942	626	0.0	830	Chromis viridis voucher R0101_152 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
CviAPal008	CviAPal008_10x_0.9_COI	gi|1331389580|gb|MF409454.1|	85.942	626	0.0	830	Chromis viridis voucher R0201_091 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
CviAPal008	CviAPal008_10x_0.9_COI	gi|1682662780|gb|MK657289.1|	86.111	612	0.0	817	Chromis atripectoralis voucher GAM-266 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
CviAPal008	CviAPal008_10x_0.9_COI	gi|816377247|gb|KP194940.1|	86.111	612	0.0	817	Chromis viridis voucher UG0319 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
CviAPal011	CviAPal011_10x_0.9_COI	gi|1842048723|gb|MT199208.1|	82.609	253	5.67e-77	300	Chromis viridis mitochondrion, complete genome
CviAPal011	CviAPal011_10x_0.9_COI	gi|557639966|gb|KF648507.1|	85.577	104	4.74e-23	121	Okamejei acutispina mitochondrion, complete genome
CviAPal011	CviAPal011_10x_0.9_COI	gi|844169275|gb|KP756687.1|	84.906	106	1.70e-22	119	Okamejei hollandi mitochondrion, complete genome
CviAPal011	CviAPal011_10x_0.9_COI	gi|115336598|gb|DQ835932.1|	82.759	116	2.20e-21	115	Katsuwonus pelamis isolate SKJT15 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial
CviAPal011	CviAPal011_10x_0.9_COI	gi|115336592|gb|DQ835929.1|	82.759	116	2.20e-21	115	Katsuwonus pelamis isolate SKJT14 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial
CviAPal012	CviAPal012_10x_0.9_COI	gi|1842048723|gb|MT199208.1|	89.286	1596	0.0	2313	Chromis viridis mitochondrion, complete genome
CviAPal012	CviAPal012_10x_0.9_COI	gi|1980524333|ref|NC_052722.1|	81.328	1596	0.0	1609	Chromis notata mitochondrion, complete genome
