region	chr	midPos	Nsites
(3,3)(20971,20971)(10000,60000)	NODE_1000_length_28765_cov_3.224203	35000	2	0.124558
(10,35)(10620,25363)(10000,60000)	NODE_1001_length_28761_cov_3.206196	35000	27	0.285710
(7,61)(12624,25236)(10000,60000)	NODE_1002_length_28759_cov_3.406211	35000	56	0.155543
(3,23)(14698,26839)(10000,60000)	NODE_1003_length_28751_cov_3.628822	35000	22	0.407195
(67,122)(10206,28654)(10000,60000)	NODE_1004_length_28751_cov_3.208258	35000	57	0.206637
(216,262)(10071,28038)(10000,60000)	NODE_1005_length_28748_cov_3.680652	35000	48	0.126361
(3,34)(17411,28369)(10000,60000)	NODE_1006_length_28733_cov_3.902808	35000	33	0.100337
(14,123)(10760,26065)(10000,60000)	NODE_1007_length_28726_cov_3.415552	35000	111	0.061773
(10,20)(11739,25953)(10000,60000)	NODE_1008_length_28719_cov_3.842453	35000	12	0.307951
(59,118)(11882,27370)(10000,60000)	NODE_1009_length_28717_cov_3.504018	35000	61	0.138695
(7,64)(11423,46560)(10000,60000)	NODE_100_length_47095_cov_3.782811	35000	59	0.179875
(5,74)(10107,24971)(10000,60000)	NODE_1010_length_28715_cov_3.683359	35000	71	0.131880
(27,31)(15583,22721)(10000,60000)	NODE_1011_length_28715_cov_3.354033	35000	6	0.063572
(21,35)(18919,27409)(10000,60000)	NODE_1012_length_28711_cov_3.297952	35000	16	0.114235
(1,8)(20157,22190)(20000,70000)	NODE_1013_length_28706_cov_3.768833	45000	9	0.399824
(96,155)(12638,16445)(10000,60000)	NODE_1014_length_28701_cov_3.471855	35000	61	0.095695
(1,72)(10003,27972)(10000,60000)	NODE_1015_length_28697_cov_3.274914	35000	73	0.108548
(15,79)(20017,27673)(20000,70000)	NODE_1016_length_28681_cov_3.789308	45000	66	0.109314
(1,35)(11311,28180)(10000,60000)	NODE_1017_length_28667_cov_3.535844	35000	36	0.130910
(1,43)(20917,27182)(20000,70000)	NODE_1018_length_28649_cov_3.858984	45000	44	0.077661
(7,31)(14272,23462)(10000,60000)	NODE_1019_length_28647_cov_3.452606	35000	26	0.100972
(6,15)(24115,46562)(20000,70000)	NODE_101_length_46778_cov_4.250412	45000	11	0.439392
(10,20)(10645,20006)(10000,60000)	NODE_1020_length_28628_cov_3.219566	35000	12	0.308756
(2,6)(11799,28437)(10000,60000)	NODE_1021_length_28602_cov_3.913799	35000	6	0.124176
(4,14)(10600,24837)(10000,60000)	NODE_1022_length_28599_cov_3.422702	35000	12	0.034640
(78,233)(27237,28560)(10000,60000)	NODE_1023_length_28597_cov_3.311987	35000	157	0.104467
(99,112)(24954,27712)(10000,60000)	NODE_1024_length_28592_cov_3.411013	35000	15	0.044560
(71,92)(10165,26743)(10000,60000)	NODE_1025_length_28566_cov_3.506130	35000	23	0.054103
